CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Avg_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
780653208,47,F,3,College,Married,Less than $40K,Blue,36,5,4,2,3300.0,2517,783.0,0.94,3784,55,1.115,0.763,Continuing
714479358,51,M,3,Graduate,Single,$80K - $120K,Blue,36,6,3,3,3610.0,1554,2056.0,0.501,2216,34,0.308,0.43,Leaving
807600633,44,F,2,Doctorate,Divorced,Less than $40K,Blue,39,6,4,1,9856.0,671,9185.0,0.662,5408,83,0.729,0.068,Continuing
769892058,40,M,3,Uneducated,Single,$80K - $120K,Blue,34,4,2,2,9124.0,2126,6998.0,0.449,4564,65,0.548,0.233,Continuing
717471933,45,M,2,Graduate,Married,$40K - $60K,Blue,27,2,2,3,5800.0,1434,4366.0,0.715,8202,89,0.679,0.247,Continuing
798773208,46,F,4,Graduate,Divorced,Less than $40K,Blue,40,5,2,3,26496.0,1406,25090.0,0.96,3691,75,0.705,0.053,Continuing
717487983,39,M,5,Graduate,Married,$80K - $120K,Blue,36,4,3,3,19435.0,2120,17315.0,0.625,2062,55,0.486,0.109,Continuing
713095533,44,F,4,High School,Divorced,Less than $40K,Blue,36,5,3,3,2333.0,1485,848.0,0.692,1198,31,0.722,0.637,Continuing
712361583,47,M,5,Graduate,Married,$80K - $120K,Silver,36,3,3,1,34516.0,760,33756.0,0.407,3756,67,0.558,0.022,Continuing
715502808,42,M,3,High School,Married,$80K - $120K,Blue,36,4,3,2,25944.0,1987,23957.0,0.566,4442,76,0.767,0.077,Continuing
721342383,39,M,2,Graduate,Married,$80K - $120K,Blue,34,6,3,2,17438.0,0,17438.0,1.078,1860,37,0.85,0.0,Continuing
721374033,53,F,1,High School,Married,$40K - $60K,Blue,39,2,3,3,2164.0,1115,1049.0,0.624,4341,69,0.643,0.515,Continuing
716373483,48,F,5,Graduate,Married,Less than $40K,Blue,40,4,3,2,2860.0,2517,343.0,0.38,1544,45,0.364,0.88,Leaving
717567333,35,M,3,Graduate,Married,$60K - $80K,Blue,26,6,3,2,3991.0,1982,2009.0,0.748,1661,35,0.944,0.497,Continuing
819200133,44,M,3,Graduate,Unknown,$60K - $80K,Blue,39,5,4,3,2991.0,642,2349.0,0.76,4646,62,0.55,0.215,Continuing
778152108,31,F,0,High School,Single,Less than $40K,Blue,23,4,2,3,2239.0,1256,983.0,0.605,4986,83,0.976,0.561,Continuing
779040408,56,M,2,High School,Married,$120K +,Blue,37,3,1,2,12181.0,1702,10479.0,0.834,1478,33,0.5,0.14,Continuing
809966058,48,F,2,Graduate,Married,Less than $40K,Blue,37,4,4,2,2835.0,1860,975.0,0.571,4569,81,0.884,0.656,Continuing
708937608,37,F,4,High School,Single,Less than $40K,Blue,18,4,1,2,2001.0,1366,635.0,0.86,4590,66,0.571,0.683,Continuing
816261858,61,M,0,Graduate,Single,$40K - $60K,Blue,56,2,5,4,3984.0,2245,1739.0,0.612,1821,39,0.696,0.564,Leaving
719170683,38,M,1,Graduate,Single,$80K - $120K,Blue,29,2,2,3,10972.0,0,10972.0,0.697,4401,73,0.698,0.0,Continuing
717331758,44,M,4,Graduate,Married,$120K +,Blue,32,6,3,4,34516.0,2517,31999.0,0.765,4228,83,0.596,0.073,Continuing
712011633,40,F,2,Doctorate,Single,$40K - $60K,Blue,36,6,1,3,2797.0,850,1947.0,0.953,3652,64,1.37,0.304,Continuing
716038533,42,F,3,Graduate,Unknown,Less than $40K,Blue,32,3,1,2,7169.0,902,6267.0,0.834,1438,35,0.591,0.126,Continuing
720863133,65,M,1,Graduate,Married,Less than $40K,Blue,54,5,3,4,3213.0,2517,696.0,0.507,1855,39,0.773,0.783,Continuing
718464258,51,F,3,Graduate,Unknown,Less than $40K,Blue,25,2,2,2,9512.0,1082,8430.0,0.701,1007,22,1.444,0.114,Continuing
713944833,46,M,5,Uneducated,Single,$60K - $80K,Blue,36,3,3,2,24512.0,766,23746.0,0.509,4561,78,0.368,0.031,Continuing
771330558,51,M,4,High School,Married,$60K - $80K,Blue,38,5,2,3,10462.0,1824,8638.0,0.736,1267,31,0.55,0.174,Continuing
718672233,48,F,1,Graduate,Single,Less than $40K,Blue,38,3,2,2,23007.0,1239,21768.0,0.713,3395,63,0.465,0.054,Continuing
719074308,37,F,3,College,Married,Less than $40K,Blue,27,4,2,0,1438.3,687,751.3,0.778,4621,73,1.147,0.478,Continuing
771183933,39,M,1,Uneducated,Married,$80K - $120K,Blue,26,6,2,3,16040.0,1220,14820.0,0.862,1923,49,0.4,0.076,Continuing
721027083,47,F,4,Post-Graduate,Single,Less than $40K,Blue,36,6,1,0,3054.0,1862,1192.0,0.589,3543,87,0.812,0.61,Continuing
714473658,42,M,3,Graduate,Single,$40K - $60K,Blue,30,6,2,2,8960.0,1054,7906.0,0.414,1488,26,0.368,0.118,Continuing
718170033,42,F,4,Uneducated,Married,Less than $40K,Blue,23,4,1,2,8348.0,0,8348.0,0.695,15905,111,0.708,0.0,Continuing
713295183,48,M,2,Graduate,Divorced,$80K - $120K,Blue,29,6,2,3,24446.0,1854,22592.0,0.782,3897,75,0.786,0.076,Continuing
712490283,55,F,4,Graduate,Married,$40K - $60K,Blue,41,4,3,3,3156.0,2517,639.0,1.516,2091,48,0.778,0.798,Continuing
710727333,49,F,3,High School,Married,Less than $40K,Blue,36,4,2,2,1763.0,0,1763.0,0.896,2813,43,0.536,0.0,Leaving
786557358,44,F,1,Graduate,Married,Less than $40K,Blue,38,5,2,4,3242.0,799,2443.0,0.459,1424,37,0.028,0.246,Continuing
772430733,42,M,2,Graduate,Married,$120K +,Blue,32,1,1,1,34516.0,1440,33076.0,0.676,7168,88,0.571,0.042,Continuing
771237933,47,M,1,Uneducated,Unknown,$80K - $120K,Blue,34,4,1,3,20620.0,1085,19535.0,1.276,1477,23,0.533,0.053,Continuing
779839758,47,F,2,Post-Graduate,Single,Less than $40K,Blue,31,3,2,3,1491.0,0,1491.0,0.716,4634,92,0.804,0.0,Continuing
714011358,38,M,3,Graduate,Divorced,$80K - $120K,Blue,24,5,1,3,14821.0,0,14821.0,0.661,2876,60,0.622,0.0,Continuing
803655333,53,M,2,Post-Graduate,Single,$60K - $80K,Silver,47,1,3,3,29038.0,2295,26743.0,0.657,12025,103,0.807,0.079,Continuing
718431258,41,M,4,High School,Single,$60K - $80K,Blue,28,4,3,3,3126.0,1503,1623.0,0.892,3662,74,0.644,0.481,Continuing
708212658,38,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193.0,1260,933.0,0.886,1799,47,0.567,0.575,Continuing
716128083,56,M,2,High School,Married,$40K - $60K,Blue,36,5,2,3,3295.0,2002,1293.0,0.599,1191,34,0.545,0.608,Continuing
717865008,51,F,1,Graduate,Married,$40K - $60K,Blue,36,2,1,1,1438.3,468,970.3,0.747,4425,81,1.077,0.325,Continuing
711663858,28,M,1,Post-Graduate,Single,Less than $40K,Blue,13,4,3,3,20030.0,1204,18826.0,0.979,15862,127,0.693,0.06,Continuing
712619808,47,F,3,College,Single,Less than $40K,Blue,36,3,2,1,2500.0,1169,1331.0,0.638,4265,87,0.812,0.468,Continuing
794637333,44,F,2,Graduate,Divorced,Less than $40K,Silver,25,2,2,2,13138.0,0,13138.0,0.546,3881,77,0.791,0.0,Continuing
772382283,46,F,3,Graduate,Married,Less than $40K,Blue,36,3,3,3,2302.0,1593,709.0,0.671,2689,49,0.324,0.692,Leaving
713370033,53,F,0,Graduate,Single,Less than $40K,Blue,40,4,1,4,1438.3,0,1438.3,0.503,2014,53,0.472,0.0,Leaving
772292358,30,M,1,College,Divorced,Less than $40K,Blue,19,4,3,3,7970.0,0,7970.0,0.776,1284,30,0.429,0.0,Leaving
817144458,32,F,2,Graduate,Single,Less than $40K,Blue,17,5,1,2,1438.3,1228,210.3,1.132,2580,67,0.971,0.854,Continuing
785024808,53,F,1,High School,Single,Less than $40K,Blue,47,6,2,3,3378.0,2134,1244.0,0.541,4464,83,0.93,0.632,Continuing
751143858,59,F,1,High School,Single,Less than $40K,Blue,52,2,1,1,7427.0,2421,5006.0,0.701,4636,91,0.82,0.326,Continuing
794113758,60,M,0,High School,Married,$60K - $80K,Blue,54,6,1,2,9592.0,1968,7624.0,0.61,1821,55,0.447,0.205,Continuing
813810333,50,M,3,Post-Graduate,Married,$60K - $80K,Blue,45,6,4,3,2049.0,0,2049.0,0.974,2703,54,1.0,0.0,Leaving
815299833,38,F,2,Graduate,Married,Less than $40K,Blue,33,5,2,3,2228.0,1717,511.0,1.625,2334,61,0.848,0.771,Continuing
779998083,33,M,3,High School,Married,$40K - $60K,Blue,23,1,2,3,6392.0,1429,4963.0,0.682,4069,66,0.737,0.224,Continuing
719125158,35,F,2,High School,Single,Less than $40K,Silver,15,5,2,2,13882.0,1452,12430.0,0.771,2685,71,0.511,0.105,Continuing
788633733,36,M,3,Graduate,Married,$60K - $80K,Silver,13,4,3,2,28174.0,1173,27001.0,0.779,16258,108,0.714,0.042,Continuing
822969858,61,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,3,5585.0,1465,4120.0,1.503,1787,31,0.722,0.262,Continuing
711112683,63,F,1,College,Married,Less than $40K,Blue,36,6,2,3,3967.0,1568,2399.0,1.236,1657,29,1.231,0.395,Continuing
754897008,46,M,3,High School,Single,$40K - $60K,Blue,39,2,3,2,9432.0,1418,8014.0,0.612,1319,26,0.368,0.15,Continuing
718751133,36,F,2,Graduate,Married,Less than $40K,Blue,26,4,1,4,3182.0,2435,747.0,0.868,1670,30,0.765,0.765,Continuing
718208358,43,M,5,Uneducated,Married,$120K +,Blue,31,4,3,4,34516.0,830,33686.0,0.54,3789,57,0.541,0.024,Continuing
712595433,58,M,2,Uneducated,Unknown,$120K +,Blue,49,6,2,3,9788.0,1794,7994.0,0.778,1805,37,0.762,0.183,Continuing
717704433,48,F,4,Graduate,Single,Less than $40K,Blue,37,1,2,1,3829.0,836,2993.0,0.731,4313,85,0.545,0.218,Continuing
713305233,55,M,2,Graduate,Single,$80K - $120K,Blue,46,5,5,2,4994.0,0,4994.0,0.717,4802,81,0.761,0.0,Continuing
717045033,45,F,3,Graduate,Married,Less than $40K,Blue,36,6,1,3,8459.0,757,7702.0,0.648,4677,87,0.673,0.089,Continuing
788030208,42,F,2,Uneducated,Single,Less than $40K,Silver,33,1,2,3,13453.0,2517,10936.0,0.619,1904,42,0.448,0.187,Leaving
710424408,63,M,2,Graduate,Married,Less than $40K,Blue,36,5,2,4,2743.0,1815,928.0,0.567,1210,25,1.273,0.662,Continuing
794172033,58,F,1,Post-Graduate,Divorced,Less than $40K,Blue,52,4,1,3,1817.0,0,1817.0,0.503,2347,45,0.452,0.0,Leaving
712479633,31,F,1,Graduate,Single,Less than $40K,Blue,20,3,1,2,1695.0,0,1695.0,0.561,2428,43,0.593,0.0,Leaving
813240408,45,F,4,High School,Married,Less than $40K,Blue,39,4,3,2,24880.0,836,24044.0,0.701,1208,25,1.083,0.034,Continuing
717000858,41,M,2,Graduate,Married,Less than $40K,Blue,29,3,2,2,2683.0,1738,945.0,0.745,2274,52,0.733,0.648,Continuing
713163258,38,F,2,Graduate,Married,Less than $40K,Blue,33,4,3,3,3388.0,0,3388.0,0.368,1959,52,0.857,0.0,Leaving
713512308,50,F,0,Graduate,Single,Less than $40K,Blue,41,2,3,1,3423.0,0,3423.0,0.505,2229,45,0.406,0.0,Leaving
711813258,56,M,2,College,Single,$60K - $80K,Gold,43,2,1,2,34516.0,2022,32494.0,0.761,13633,116,0.785,0.059,Continuing
719882583,44,M,5,Graduate,Single,$60K - $80K,Blue,34,3,3,5,13477.0,2057,11420.0,0.684,3866,67,0.634,0.153,Continuing
801726933,34,M,2,Graduate,Married,$120K +,Blue,28,4,3,3,13384.0,1853,11531.0,0.807,1899,33,0.833,0.138,Continuing
789419658,47,F,4,College,Married,Less than $40K,Blue,38,3,2,1,1438.3,0,1438.3,0.68,4503,89,0.978,0.0,Continuing
715278708,55,M,2,Graduate,Single,$60K - $80K,Blue,36,5,3,1,1594.0,927,667.0,0.985,3851,65,0.806,0.582,Continuing
714466458,49,F,2,High School,Married,Less than $40K,Blue,35,4,3,2,2532.0,2124,408.0,0.715,3400,76,0.727,0.839,Continuing
709178733,50,F,2,Post-Graduate,Married,$40K - $60K,Blue,36,3,2,3,5527.0,1120,4407.0,0.442,2281,37,0.48,0.203,Leaving
806694333,44,F,4,Graduate,Married,Less than $40K,Blue,39,1,1,1,2771.0,1779,992.0,0.841,8268,73,0.698,0.642,Continuing
789339633,51,M,2,Uneducated,Divorced,$120K +,Blue,41,4,2,3,30560.0,0,30560.0,0.721,3736,55,0.719,0.0,Continuing
716004258,45,M,4,High School,Single,$60K - $80K,Blue,35,1,1,3,8449.0,2092,6357.0,0.709,17634,120,0.667,0.248,Continuing
789070233,51,F,3,Graduate,Divorced,Less than $40K,Blue,39,5,4,3,2987.0,1764,1223.0,0.686,4339,72,0.6,0.591,Continuing
714880533,40,M,5,Graduate,Single,$40K - $60K,Blue,36,2,2,3,2849.0,1741,1108.0,0.791,8669,99,0.768,0.611,Continuing
708611733,42,F,1,College,Married,Less than $40K,Blue,33,4,4,3,3119.0,1328,1791.0,0.967,4659,82,0.673,0.426,Continuing
715495308,43,F,4,Graduate,Single,Less than $40K,Blue,36,5,4,1,8919.0,2231,6688.0,0.562,3923,73,1.028,0.25,Continuing
743590608,50,M,2,High School,Married,$60K - $80K,Blue,43,6,3,4,21869.0,950,20919.0,0.866,4233,71,0.775,0.043,Continuing
717669483,52,M,1,Graduate,Single,$80K - $120K,Blue,44,3,3,1,34516.0,0,34516.0,0.551,1737,38,0.9,0.0,Continuing
778799583,35,F,0,Graduate,Married,Less than $40K,Blue,24,6,1,1,2592.0,2227,365.0,0.633,1695,48,0.548,0.859,Continuing
721243083,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,32108.0,0.796,1187,40,0.6,0.07,Leaving
772243833,54,F,0,Doctorate,Single,Less than $40K,Blue,43,4,1,3,3186.0,968,2218.0,0.696,4077,75,0.63,0.304,Continuing
803214108,33,F,0,High School,Single,Less than $40K,Blue,27,6,1,1,2252.0,1826,426.0,0.716,5055,68,1.0,0.811,Continuing
712373208,43,M,3,Doctorate,Single,$60K - $80K,Blue,35,3,3,2,3312.0,0,3312.0,0.698,647,19,0.462,0.0,Leaving
815315058,48,F,4,High School,Married,$40K - $60K,Blue,43,4,2,2,1438.3,0,1438.3,0.722,2520,45,0.452,0.0,Leaving
709732608,41,F,3,Graduate,Married,Less than $40K,Blue,36,4,3,3,3203.0,2366,837.0,0.665,4282,82,0.783,0.739,Continuing
715399908,54,F,2,High School,Single,Less than $40K,Blue,45,5,3,5,7563.0,1465,6098.0,0.511,4175,67,0.718,0.194,Continuing
785387883,47,F,3,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540,2248.0,0.566,1594,47,0.382,0.407,Continuing
709615458,54,M,3,Graduate,Married,$120K +,Blue,44,2,1,3,34516.0,862,33654.0,0.815,15034,111,0.762,0.025,Continuing
718657083,46,M,3,High School,Married,$60K - $80K,Blue,36,4,3,1,4696.0,0,4696.0,0.732,4828,62,1.583,0.0,Continuing
710787708,56,F,1,Uneducated,Married,$40K - $60K,Blue,40,4,2,5,5366.0,1271,4095.0,0.558,1748,38,0.9,0.237,Continuing
718181433,65,F,0,Uneducated,Single,Less than $40K,Blue,56,6,1,2,8705.0,1453,7252.0,1.11,2688,88,0.956,0.167,Continuing
717855933,38,F,2,High School,Married,$40K - $60K,Blue,27,3,2,3,1776.0,1586,190.0,0.798,4350,71,0.868,0.893,Continuing
719929758,50,F,1,Doctorate,Married,Less than $40K,Blue,37,6,4,3,4181.0,0,4181.0,0.912,3057,54,0.688,0.0,Continuing
714391683,39,M,4,Graduate,Married,$60K - $80K,Gold,36,4,3,2,34516.0,2517,31999.0,0.841,8248,66,0.65,0.073,Leaving
718487958,53,F,2,High School,Married,Less than $40K,Blue,41,5,3,0,2799.0,1303,1496.0,0.763,3971,76,0.551,0.466,Continuing
809342208,26,M,0,Graduate,Single,Less than $40K,Blue,19,4,1,2,1438.3,0,1438.3,0.472,2005,47,0.469,0.0,Continuing
715347783,40,M,4,High School,Married,Less than $40K,Blue,35,3,3,1,4402.0,1524,2878.0,0.628,3063,57,0.9,0.346,Continuing
771220758,40,F,3,Doctorate,Single,Less than $40K,Blue,27,1,1,2,2896.0,2100,796.0,0.728,4614,83,0.694,0.725,Continuing
770985633,39,M,2,Graduate,Married,$40K - $60K,Blue,26,6,1,2,5510.0,2027,3483.0,0.898,1980,42,0.68,0.368,Continuing
719270358,57,F,2,Doctorate,Divorced,$40K - $60K,Blue,48,2,2,2,4288.0,1678,2610.0,0.643,15505,113,0.687,0.391,Continuing
789150633,50,F,3,Graduate,Married,Less than $40K,Blue,38,6,3,2,3026.0,1888,1138.0,0.762,3687,58,0.812,0.624,Continuing
720141408,49,F,2,Graduate,Single,Less than $40K,Blue,31,5,1,2,5456.0,951,4505.0,0.737,1096,27,0.588,0.174,Leaving
806140383,59,M,2,High School,Single,$80K - $120K,Blue,54,3,2,2,2791.0,2396,395.0,0.889,2658,43,0.344,0.858,Leaving
772825308,40,M,3,Graduate,Divorced,$80K - $120K,Blue,31,4,2,3,27374.0,1509,25865.0,0.803,4231,60,0.714,0.055,Continuing
797668983,42,F,4,Graduate,Married,Less than $40K,Blue,36,6,2,1,1438.3,0,1438.3,0.795,4396,70,0.628,0.0,Continuing
788915283,43,F,2,College,Single,Less than $40K,Blue,29,5,1,2,2304.0,1589,715.0,0.872,1273,36,0.895,0.69,Continuing
764211033,50,F,3,Uneducated,Unknown,Less than $40K,Blue,43,6,2,1,3199.0,2517,682.0,0.699,4483,87,0.776,0.787,Continuing
713463708,40,F,4,Graduate,Single,Less than $40K,Blue,25,4,2,3,1438.3,0,1438.3,0.628,2493,42,0.5,0.0,Leaving
710825658,37,F,3,Uneducated,Single,Less than $40K,Blue,29,5,3,2,2584.0,1614,970.0,0.675,4045,78,0.733,0.625,Continuing
721469433,48,M,3,Graduate,Single,$40K - $60K,Blue,36,5,2,3,6880.0,1390,5490.0,1.205,1784,35,0.944,0.202,Continuing
827970933,46,F,4,Graduate,Married,Less than $40K,Blue,42,4,2,0,3504.0,1698,1806.0,0.575,4439,70,0.628,0.485,Continuing
811980858,36,M,0,Graduate,Married,$60K - $80K,Blue,31,5,1,2,7667.0,0,7667.0,0.632,1501,35,0.667,0.0,Continuing
715367058,43,M,3,College,Unknown,$60K - $80K,Blue,37,5,2,3,19044.0,0,19044.0,0.721,1780,44,0.76,0.0,Continuing
812653383,55,F,1,College,Single,$40K - $60K,Blue,50,3,3,3,1843.0,1520,323.0,0.864,4729,92,0.704,0.825,Continuing
716292033,37,F,4,High School,Single,Less than $40K,Blue,36,6,2,3,1438.3,0,1438.3,0.568,4815,84,0.787,0.0,Continuing
713030958,57,F,2,College,Married,Less than $40K,Blue,44,6,3,2,3914.0,0,3914.0,0.524,1964,54,0.8,0.0,Continuing
712579983,40,F,2,Graduate,Single,Less than $40K,Blue,30,5,2,3,1438.3,0,1438.3,0.542,2258,59,0.788,0.0,Continuing
716977758,44,F,3,Uneducated,Married,Less than $40K,Blue,36,2,3,1,3675.0,2517,1158.0,0.766,1913,35,0.667,0.685,Leaving
708931908,48,M,3,High School,Single,$40K - $60K,Blue,36,3,2,3,7400.0,636,6764.0,0.972,1568,51,0.5,0.086,Continuing
711340233,46,F,0,Graduate,Single,Less than $40K,Blue,34,6,1,2,9216.0,2059,7157.0,0.763,3630,78,0.56,0.223,Continuing
715445883,40,F,2,Graduate,Married,Less than $40K,Blue,29,5,2,2,18862.0,2105,16757.0,0.832,4449,86,0.686,0.112,Continuing
708098133,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834.0,1418,1416.0,1.458,1598,39,0.773,0.5,Continuing
709169133,35,F,1,High School,Married,Less than $40K,Blue,23,3,3,1,1438.3,0,1438.3,0.751,3995,82,0.608,0.0,Continuing
716368008,54,F,1,Graduate,Married,Less than $40K,Blue,36,4,2,2,3137.0,959,2178.0,1.008,2925,41,0.414,0.306,Leaving
741517458,49,F,4,Graduate,Married,Less than $40K,Blue,42,2,4,3,2575.0,2517,58.0,0.31,1874,40,0.739,0.977,Leaving
712064358,38,M,1,Graduate,Married,$60K - $80K,Blue,36,6,3,4,2507.0,1544,963.0,0.906,1999,34,0.789,0.616,Continuing
712019883,43,F,4,Graduate,Unknown,Less than $40K,Blue,34,5,3,3,12778.0,1528,11250.0,0.777,3337,69,0.769,0.12,Continuing
719617758,56,F,1,Graduate,Married,Less than $40K,Blue,48,3,1,3,2464.0,1794,670.0,0.682,4610,76,0.9,0.728,Continuing
709759908,46,M,2,Graduate,Married,$60K - $80K,Blue,36,4,2,2,1939.0,685,1254.0,0.421,4327,84,0.68,0.353,Continuing
787593558,42,M,3,Graduate,Married,$80K - $120K,Blue,34,6,3,0,4562.0,2258,2304.0,0.861,3740,55,0.833,0.495,Continuing
710915358,63,F,0,College,Single,Less than $40K,Blue,55,5,1,2,14963.0,1616,13347.0,0.755,3242,58,1.0,0.108,Continuing
719286708,50,F,1,Graduate,Single,Less than $40K,Blue,39,4,5,2,2434.0,1340,1094.0,0.668,4498,76,0.81,0.551,Continuing
808279158,51,M,3,Graduate,Married,$80K - $120K,Blue,46,1,3,1,11765.0,1429,10336.0,0.817,8914,99,0.768,0.121,Continuing
713920158,41,F,3,Uneducated,Unknown,Less than $40K,Blue,36,2,3,1,13733.0,0,13733.0,0.325,1591,30,0.875,0.0,Leaving
710566533,40,M,1,Graduate,Married,$60K - $80K,Blue,27,1,3,3,2276.0,1372,904.0,0.564,4159,67,0.718,0.603,Continuing
712500933,48,F,4,Graduate,Single,Less than $40K,Blue,40,4,4,4,11692.0,648,11044.0,1.265,2997,56,0.867,0.055,Continuing
783387783,55,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,5,3,10127.0,1873,8254.0,0.573,1647,53,0.472,0.185,Continuing
771214083,45,M,2,High School,Unknown,$60K - $80K,Blue,32,1,2,3,1870.0,0,1870.0,0.761,4891,65,0.806,0.0,Continuing
714164808,42,F,4,Graduate,Married,$40K - $60K,Blue,33,4,3,2,2918.0,0,2918.0,0.559,2056,54,0.459,0.0,Leaving
795991758,47,F,3,Graduate,Married,$40K - $60K,Blue,41,5,3,3,7553.0,660,6893.0,0.549,4079,67,0.457,0.087,Continuing
772658658,57,M,2,High School,Single,$60K - $80K,Blue,47,6,3,4,2248.0,0,2248.0,0.735,4439,77,0.54,0.0,Continuing
719240358,60,M,1,Graduate,Single,$60K - $80K,Blue,50,4,3,0,10698.0,1790,8908.0,0.981,4095,67,0.914,0.167,Continuing
790000608,64,F,1,Graduate,Single,Less than $40K,Blue,56,4,1,1,6723.0,968,5755.0,0.832,3838,67,0.811,0.144,Continuing
712058133,54,F,2,College,Single,Less than $40K,Blue,36,1,3,3,2274.0,708,1566.0,0.677,7735,74,0.682,0.311,Continuing
714527433,39,M,4,Graduate,Married,$80K - $120K,Blue,30,5,2,2,17523.0,0,17523.0,0.424,1974,54,0.688,0.0,Leaving
766673433,45,M,4,Graduate,Married,$80K - $120K,Blue,38,2,3,3,3798.0,1570,2228.0,0.916,4512,80,0.778,0.413,Continuing
810347208,51,M,4,Graduate,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,Continuing
711443808,46,M,2,Graduate,Divorced,$60K - $80K,Blue,37,6,1,1,2695.0,1657,1038.0,0.813,4068,53,0.963,0.615,Continuing
719986758,46,F,2,Graduate,Single,$40K - $60K,Blue,33,5,3,6,3001.0,0,3001.0,0.74,2577,39,0.444,0.0,Leaving
822112383,52,M,3,College,Married,$60K - $80K,Blue,48,5,1,2,1438.3,0,1438.3,0.618,3769,73,0.659,0.0,Continuing
719174433,36,F,1,Graduate,Single,Less than $40K,Blue,24,2,1,2,1735.0,0,1735.0,0.74,2467,35,0.346,0.0,Leaving
711782733,55,M,0,Graduate,Married,$40K - $60K,Blue,36,3,3,2,3097.0,827,2270.0,0.511,1390,24,0.263,0.267,Continuing
715146558,34,F,2,College,Married,Less than $40K,Blue,36,1,3,2,1696.0,0,1696.0,0.782,2325,56,0.556,0.0,Leaving
715659333,43,F,4,High School,Single,$40K - $60K,Blue,36,3,3,2,4902.0,2517,2385.0,0.982,4508,69,0.643,0.513,Continuing
719649408,46,M,2,High School,Married,$60K - $80K,Blue,35,6,3,3,13768.0,763,13005.0,0.712,1390,44,0.76,0.055,Continuing
714078558,62,F,1,High School,Married,$40K - $60K,Blue,53,2,1,1,5249.0,0,5249.0,0.758,1315,31,0.722,0.0,Leaving
711403383,33,F,3,College,Single,Less than $40K,Blue,23,6,4,1,2562.0,1968,594.0,0.546,2256,70,0.591,0.768,Continuing
711338058,45,F,1,Graduate,Married,Less than $40K,Blue,33,6,3,2,1438.3,1201,237.3,0.749,4851,86,0.72,0.835,Continuing
758367933,56,M,2,Uneducated,Single,$80K - $120K,Blue,49,5,3,2,5466.0,0,5466.0,0.587,4435,79,0.881,0.0,Continuing
809169858,62,M,2,Graduate,Single,$60K - $80K,Blue,56,2,3,2,18224.0,1383,16841.0,0.705,7728,93,0.576,0.076,Continuing
717171408,36,M,1,Graduate,Married,$80K - $120K,Blue,26,6,2,1,9959.0,0,9959.0,0.57,2021,41,0.783,0.0,Continuing
715858008,49,F,1,Uneducated,Married,$40K - $60K,Blue,39,2,3,3,8061.0,2517,5544.0,0.352,1224,31,0.409,0.312,Leaving
714620358,37,F,2,Graduate,Divorced,Less than $40K,Blue,30,3,3,4,3328.0,2517,811.0,0.553,2196,47,0.621,0.756,Leaving
788876208,42,F,2,Graduate,Single,Less than $40K,Blue,27,5,3,3,2265.0,0,2265.0,0.603,3826,71,0.543,0.0,Continuing
717722958,43,M,3,Uneducated,Married,$80K - $120K,Blue,36,1,3,2,4654.0,1349,3305.0,0.81,4277,71,0.69,0.29,Continuing
711977508,56,F,2,Uneducated,Single,Less than $40K,Blue,43,1,2,4,1440.0,1211,229.0,0.465,2141,40,0.481,0.841,Leaving
719415858,29,M,0,College,Divorced,Less than $40K,Blue,15,6,3,2,3107.0,1720,1387.0,0.661,2460,71,0.69,0.554,Continuing
716757033,37,M,4,Post-Graduate,Married,$40K - $60K,Blue,27,5,1,4,6859.0,1766,5093.0,1.186,3045,56,0.697,0.257,Continuing
713688933,42,F,0,Graduate,Married,Less than $40K,Blue,28,1,1,1,8798.0,1509,7289.0,0.845,8020,74,0.721,0.172,Continuing
789760233,29,M,0,Graduate,Divorced,$80K - $120K,Blue,14,6,3,3,3544.0,0,3544.0,0.718,2435,63,1.032,0.0,Continuing
711176133,28,M,0,High School,Single,Less than $40K,Blue,36,6,3,4,2295.0,1015,1280.0,1.04,3366,82,0.708,0.442,Continuing
716698608,51,M,2,Graduate,Single,$80K - $120K,Blue,39,2,1,1,8924.0,0,8924.0,0.46,4441,87,0.673,0.0,Continuing
788719533,53,M,4,Post-Graduate,Married,$80K - $120K,Blue,34,1,2,3,13679.0,0,13679.0,0.908,4060,61,1.346,0.0,Continuing
712263258,49,F,2,Uneducated,Married,Less than $40K,Blue,38,6,3,3,2468.0,0,2468.0,1.057,3371,62,0.676,0.0,Continuing
717327783,39,M,2,Graduate,Married,$80K - $120K,Blue,27,4,2,2,9959.0,1476,8483.0,0.952,2760,44,1.0,0.148,Continuing
